GID	SYMBOL	GENENAME
3479	VaccDscaff20-augustus-gene-68.33	UDP-glucoronosyl and UDP-glucosyl transferase
3480	VaccDscaff20-processed-gene-68.12	UDP-glucoronosyl and UDP-glucosyl transferase
3481	VaccDscaff20-augustus-gene-68.36	UDP-glucoronosyl and UDP-glucosyl transferase
3482	VaccDscaff20-snap-gene-69.31	Belongs to the DHHC palmitoyltransferase family
3483	VaccDscaff20-augustus-gene-70.24	RING-type E3 ubiquitin transferase
3484	VaccDscaff20-snap-gene-70.29	SET domain-containing protein
3485	VaccDscaff20-snap-gene-70.27	Vesicle transport protein
3486	VaccDscaff20-augustus-gene-70.26	UDP-galactose UDP-glucose transporter
3487	VaccDscaff20-snap-gene-70.32	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting
3488	VaccDscaff20-augustus-gene-71.39	Lysine-specific histone demethylase 1 homolog
3489	VaccDscaff20-snap-gene-71.44	Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family
3490	VaccDscaff20-snap-gene-71.46	RNA pseudouridylate synthase
3491	VaccDscaff20-snap-gene-71.48	Domain of unknown function (DUF3783)
3492	VaccDscaff20-processed-gene-71.6	histone-lysine N-methyltransferase, H3 lysine-9 specific
3493	VaccDscaff20-processed-gene-72.6	L-type lectin-domain containing receptor kinase
3494	VaccDscaff20-snap-gene-72.65	Legume lectin domain
3495	VaccDscaff20-snap-gene-72.62	protein catabolic process in the vacuole
3496	VaccDscaff20-processed-gene-72.8	L-type lectin-domain containing receptor kinase
3497	VaccDscaff20-processed-gene-72.17	L-type lectin-domain containing receptor kinase
3498	VaccDscaff20-snap-gene-72.64	L-type lectin-domain containing receptor kinase
3499	VaccDscaff20-augustus-gene-72.57	U11 U12 small nuclear ribonucleoprotein 31 kDa
3500	VaccDscaff20-snap-gene-72.69	Zinc knuckle
3501	VaccDscaff20-augustus-gene-72.60	Belongs to the peptidase C1 family
3502	VaccDscaff20-augustus-gene-72.59	Belongs to the peptidase S10 family
3503	VaccDscaff20-snap-gene-72.68	U11 U12 small nuclear ribonucleoprotein 31 kDa
3504	VaccDscaff20-snap-gene-72.61	Legume lectin domain
3505	VaccDscaff20-augustus-gene-73.34	Pullulanase 1
3506	VaccDscaff20-augustus-gene-73.30	ATPase family associated with various cellular activities (AAA)
3507	VaccDscaff20-augustus-gene-73.29	ACT domain-containing protein
3508	VaccDscaff20-processed-gene-73.2	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment
3509	VaccDscaff20-processed-gene-73.13	Transcription elongation factor SPT5
3510	VaccDscaff20-snap-gene-74.44	AMP-binding enzyme C-terminal domain
3511	VaccDscaff20-augustus-gene-74.34	(NAC) domain-containing protein
3512	VaccDscaff20-processed-gene-74.1	NAC domain-containing protein 78-like
3513	VaccDscaff20-snap-gene-74.47	Small nuclear ribonucleoprotein
3514	VaccDscaff20-snap-gene-74.48	RNA-binding protein
3515	VaccDscaff20-augustus-gene-75.27	Phytol kinase
3516	VaccDscaff20-snap-gene-75.37	-
3517	VaccDscaff20-augustus-gene-75.32	Pyruvate kinase
3518	VaccDscaff20-augustus-gene-76.20	ATP-dependent RNA helicase
3519	VaccDscaff20-processed-gene-76.16	-
3520	VaccDscaff20-augustus-gene-76.22	RING-H2 finger protein
3521	VaccDscaff20-snap-gene-76.25	Transmembrane amino acid transporter protein
3522	VaccDscaff20-augustus-gene-77.26	Belongs to the UDP-glycosyltransferase family
3523	VaccDscaff20-augustus-gene-77.25	Belongs to the UDP-glycosyltransferase family
3524	VaccDscaff20-augustus-gene-77.27	Belongs to the UDP-glycosyltransferase family
3525	VaccDscaff20-processed-gene-77.5	Belongs to the UDP-glycosyltransferase family
3526	VaccDscaff20-augustus-gene-77.30	Transcriptional activator
3527	VaccDscaff20-augustus-gene-77.31	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
3528	VaccDscaff20-augustus-gene-77.29	Belongs to the UDP-glycosyltransferase family
3529	VaccDscaff20-augustus-gene-78.21	Copper transport protein
3530	VaccDscaff20-snap-gene-78.25	UDP-glucoronosyl and UDP-glucosyl transferase
3531	VaccDscaff20-augustus-gene-79.39	dual specificity protein phosphatase
3532	VaccDscaff20-snap-gene-79.43	R3H domain-containing protein
3533	VaccDscaff20-augustus-gene-79.38	isoform X1
3534	VaccDscaff20-processed-gene-79.8	Yip1 domain
3535	VaccDscaff20-processed-gene-79.32	Germin-like protein subfamily 3 member
3536	VaccDscaff20-augustus-gene-79.41	Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids
3537	VaccDscaff20-snap-gene-79.51	protein DS12 from 2D-PAGE of leaf
3538	VaccDscaff20-augustus-gene-79.40	Belongs to the peptidase M18 family
3539	VaccDscaff20-processed-gene-79.13	Homeobox-leucine zipper protein
3540	VaccDscaff20-snap-gene-80.40	Multiple myeloma tumor-associated protein 2
3541	VaccDscaff20-augustus-gene-80.31	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids
3542	VaccDscaff20-augustus-gene-80.32	-
3543	VaccDscaff20-augustus-gene-80.36	transcription factor
3544	VaccDscaff20-augustus-gene-80.33	Iron-sulfur assembly protein IscA-like 1
3545	VaccDscaff20-augustus-gene-80.35	Light-regulated
3546	VaccDscaff20-snap-gene-80.47	exocyst complex component
3547	VaccDscaff20-augustus-gene-81.28	Apoptosis-inducing factor
3548	VaccDscaff20-snap-gene-81.36	Belongs to the SNF7 family
3549	VaccDscaff20-augustus-gene-81.32	Core-2/I-Branching enzyme
3550	VaccDscaff20-processed-gene-81.9	Coiled-coil domain-containing protein 94 homolog
3551	VaccDscaff20-snap-gene-81.39	Catalyzes the oxidation of uric acid to 5- hydroxyisourate, which is further processed to form (S)-allantoin
3552	VaccDscaff20-processed-gene-82.4	RING-type zinc-finger
3553	VaccDscaff20-processed-gene-82.3	RING-type zinc-finger
3554	VaccDscaff20-augustus-gene-82.23	DnaJ protein homolog
3555	VaccDscaff20-snap-gene-82.30	5'-nucleotidase
3556	VaccDscaff20-processed-gene-82.11	RING-H2 finger protein
3557	VaccDscaff20-processed-gene-82.1	Protein RETICULATA-related
3558	VaccDscaff20-augustus-gene-82.26	synthase
3559	VaccDscaff20-snap-gene-82.29	RING-H2 zinc finger domain
3560	VaccDscaff20-augustus-gene-83.15	LRR receptor-like serine threonine-protein kinase At3g47570
3561	VaccDscaff20-snap-gene-83.23	fasciclin-like arabinogalactan protein
3562	VaccDscaff20-augustus-gene-83.18	Nuclear pore complex protein
3563	VaccDscaff20-snap-gene-84.37	3-oxo-5-alpha-steroid 4-dehydrogenase
3564	VaccDscaff20-snap-gene-84.35	Belongs to the peptidase C19 family
3565	VaccDscaff20-snap-gene-84.34	Very-long-chain enoyl-CoA reductase-like
3566	VaccDscaff20-augustus-gene-84.27	Very-long-chain enoyl-CoA reductase-like
3567	VaccDscaff20-snap-gene-84.40	LRR receptor-like serine threonine-protein kinase
3568	VaccDscaff20-processed-gene-85.5	LRR receptor-like serine threonine-protein kinase
3569	VaccDscaff20-processed-gene-85.2	LRR receptor-like serine threonine-protein kinase
3570	VaccDscaff20-snap-gene-85.26	non-haem dioxygenase in morphine synthesis N-terminal
3571	VaccDscaff20-processed-gene-86.4	LRR receptor-like serine threonine-protein kinase
3572	VaccDscaff20-processed-gene-86.11	LRR receptor-like serine threonine-protein kinase
3573	VaccDscaff20-snap-gene-86.33	LRR receptor-like serine threonine-protein kinase
3574	VaccDscaff20-snap-gene-86.35	non-haem dioxygenase in morphine synthesis N-terminal
3575	VaccDscaff20-snap-gene-86.34	LRR receptor-like serine threonine-protein kinase
3576	VaccDscaff20-augustus-gene-86.30	cytochrome P450
3577	VaccDscaff20-processed-gene-87.0	LRR receptor-like serine threonine-protein kinase
3578	VaccDscaff20-augustus-gene-87.23	non-haem dioxygenase in morphine synthesis N-terminal
3579	VaccDscaff20-processed-gene-87.16	Leucine Rich Repeat
3580	VaccDscaff20-processed-gene-88.6	LRR receptor-like serine threonine-protein kinase
3581	VaccDscaff20-processed-gene-88.10	LRR receptor-like serine threonine-protein kinase
3582	VaccDscaff20-snap-gene-88.38	non-haem dioxygenase in morphine synthesis N-terminal
3583	VaccDscaff20-processed-gene-88.5	LRR receptor-like serine threonine-protein kinase
3584	VaccDscaff20-processed-gene-88.4	LRR receptor-like serine threonine-protein kinase
3585	VaccDscaff20-snap-gene-88.39	cytochrome P450
3586	VaccDscaff20-processed-gene-89.3	LRR receptor-like serine threonine-protein kinase
3587	VaccDscaff20-augustus-gene-89.29	DNA-binding protein
3588	VaccDscaff20-augustus-gene-89.28	c-Myc-binding protein
3589	VaccDscaff20-augustus-gene-89.27	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
3590	VaccDscaff20-snap-gene-89.36	flower development
3591	VaccDscaff20-processed-gene-90.4	Serine-threonine protein phosphatase N-terminal domain
3592	VaccDscaff20-processed-gene-90.3	ethylene-responsive transcription factor
3593	VaccDscaff20-augustus-gene-90.27	-
3594	VaccDscaff20-processed-gene-90.1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
3595	VaccDscaff20-snap-gene-91.40	Belongs to the protein kinase superfamily
3596	VaccDscaff20-processed-gene-91.12	Protein tyrosine kinase
3597	VaccDscaff20-augustus-gene-91.35	Protein tyrosine kinase
3598	VaccDscaff20-snap-gene-92.23	Protein CHAPERONE-LIKE PROTEIN OF POR1-like
3599	VaccDscaff20-snap-gene-92.24	low-specificity L-threonine aldolase 1
3600	VaccDscaff20-augustus-gene-92.20	Belongs to the glycosyltransferase 8 family
3601	VaccDscaff20-augustus-gene-93.16	RNA-binding protein
3602	VaccDscaff20-augustus-gene-93.20	U11 U12 small nuclear ribonucleoprotein 48 kDa
3603	VaccDscaff20-snap-gene-93.27	Protein prenyltransferase alpha subunit repeat-containing protein
3604	VaccDscaff20-augustus-gene-93.19	Belongs to the SIS family. GutQ KpsF subfamily
3605	VaccDscaff20-processed-gene-93.7	light-dependent short hypocotyls
3606	VaccDscaff20-augustus-gene-94.34	Ankyrin repeat domain-containing protein
3607	VaccDscaff20-augustus-gene-94.32	EF-hand domain pair
3608	VaccDscaff20-augustus-gene-94.40	-
3609	VaccDscaff20-augustus-gene-95.13	2-alkenal reductase (NADP(
3610	VaccDscaff20-processed-gene-95.3	Beta-hexosaminidase
3611	VaccDscaff20-snap-gene-96.23	Wall-associated receptor kinase C-terminal
3612	VaccDscaff20-processed-gene-96.4	Pentatricopeptide repeat-containing protein
3613	VaccDscaff20-snap-gene-96.26	Sister chromatid cohesion 1 protein
3614	VaccDscaff20-snap-gene-97.34	Belongs to the AAA ATPase family
3615	VaccDscaff20-augustus-gene-97.25	SPIRAL1-like
3616	VaccDscaff20-augustus-gene-97.26	serine threonine-protein kinase
3617	VaccDscaff20-snap-gene-97.37	RimP N-terminal domain
3618	VaccDscaff20-augustus-gene-97.23	Asparagine synthetase domain-containing protein
3619	VaccDscaff20-augustus-gene-97.28	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
3620	VaccDscaff20-augustus-gene-97.30	Ninja-family protein
3621	VaccDscaff20-augustus-gene-97.29	magnesium transporter
3622	VaccDscaff20-snap-gene-97.43	Component of the coenzyme Q biosynthetic pathway. May play a role in organizing a multi-subunit COQ enzyme complex required for coenzyme Q biosynthesis. Required for steady-state levels of other COQ polypeptides
3623	VaccDscaff20-augustus-gene-98.33	Universal stress protein
3624	VaccDscaff20-snap-gene-98.38	Belongs to the cytochrome P450 family
3625	VaccDscaff20-augustus-gene-98.35	Peptidyl-prolyl cis-trans isomerase
3626	VaccDscaff20-processed-gene-98.9	-
3627	VaccDscaff20-augustus-gene-101.22	cytochrome P450
3628	VaccDscaff20-augustus-gene-101.24	ACT domain
3629	VaccDscaff20-augustus-gene-102.13	D-aminoacyl-tRNA
3630	VaccDscaff20-augustus-gene-102.15	isoform X1
3631	VaccDscaff20-snap-gene-102.23	Translin-associated protein
3632	VaccDscaff20-snap-gene-103.34	Prolyl oligopeptidase family protein
3633	VaccDscaff20-snap-gene-104.23	RING-type E3 ubiquitin transferase
3634	VaccDscaff20-augustus-gene-104.15	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
3635	VaccDscaff20-augustus-gene-104.16	heat shock protein
3636	VaccDscaff20-augustus-gene-104.19	transcription factor
3637	VaccDscaff20-processed-gene-104.3	UDP-Glycosyltransferase
3638	VaccDscaff20-processed-gene-104.6	Pentatricopeptide repeat-containing protein
3639	VaccDscaff20-augustus-gene-105.12	WPP domain-interacting tail-anchored protein
3640	VaccDscaff20-augustus-gene-105.15	Vacuolar amino acid transporter 1-like
3641	VaccDscaff20-processed-gene-106.3	basic region leucin zipper
3642	VaccDscaff20-augustus-gene-106.16	-
3643	VaccDscaff20-augustus-gene-106.19	Protein PHYLLO, chloroplastic-like
3644	VaccDscaff20-snap-gene-107.29	Belongs to the chaperonin (HSP60) family
3645	VaccDscaff20-processed-gene-107.5	-
3646	VaccDscaff20-augustus-gene-107.24	lag1 longevity assurance homolog
3647	VaccDscaff20-processed-gene-107.4	RIBOSOMAL protein
3648	VaccDscaff20-snap-gene-107.31	ER membrane protein complex subunit
3649	VaccDscaff20-snap-gene-107.34	Cleavage stimulation factor subunit
3650	VaccDscaff20-processed-gene-107.2	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH
3651	VaccDscaff20-processed-gene-107.20	N-acetyltransferase
3652	VaccDscaff20-processed-gene-108.0	Hydroxyproline-rich glycoprotein family protein
3653	VaccDscaff20-augustus-gene-109.21	ankyrin repeat-containing protein
3654	VaccDscaff20-augustus-gene-109.19	ankyrin repeat-containing protein
3655	VaccDscaff20-augustus-gene-111.22	ankyrin repeat-containing protein
3656	VaccDscaff20-augustus-gene-111.16	Predicted membrane protein (DUF2232)
3657	VaccDscaff20-augustus-gene-111.17	ankyrin repeat-containing protein
3658	VaccDscaff20-snap-gene-111.28	rna polymerase
3659	VaccDscaff20-snap-gene-113.24	HD domain-containing protein
3660	VaccDscaff20-snap-gene-113.22	Pentatricopeptide repeat-containing protein At4g01400, mitochondrial-like
3661	VaccDscaff20-snap-gene-114.35	proline-rich receptor-like protein kinase
3662	VaccDscaff20-processed-gene-114.1	calcium-binding protein
3663	VaccDscaff20-augustus-gene-114.34	phosphate transporter
3664	VaccDscaff20-augustus-gene-114.31	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
3665	VaccDscaff20-augustus-gene-114.33	Zinc finger protein
3666	VaccDscaff20-snap-gene-115.34	isoprenylcysteine alpha-carbonyl methylesterase
3667	VaccDscaff20-augustus-gene-115.29	ABC transporter G family member
3668	VaccDscaff20-snap-gene-115.38	UPF0481 protein At3g47200-like
3669	VaccDscaff20-processed-gene-115.5	UPF0481 protein At3g47200-like
3670	VaccDscaff20-augustus-gene-116.23	Belongs to the Nudix hydrolase family
3671	VaccDscaff20-snap-gene-116.29	Nudix hydrolase
3672	VaccDscaff20-processed-gene-116.3	mizu-kussei
3673	VaccDscaff20-processed-gene-117.9	FDF
3674	VaccDscaff20-augustus-gene-117.30	Clavaminate synthase-like protein
3675	VaccDscaff20-processed-gene-118.2	transmembrane ascorbate ferrireductase
3676	VaccDscaff20-augustus-gene-118.26	Protein CHUP1, chloroplastic-like
3677	VaccDscaff20-processed-gene-118.10	Clavaminate synthase-like protein
3678	VaccDscaff20-augustus-gene-118.29	Anion-transporting ATPase
3679	VaccDscaff20-snap-gene-118.34	Clavaminate synthase-like protein
3680	VaccDscaff20-processed-gene-118.24	TCP family transcription factor
3681	VaccDscaff20-processed-gene-118.6	Agamous-like MADS-box protein
3682	VaccDscaff20-augustus-gene-119.22	transcription factor
3683	VaccDscaff20-snap-gene-119.27	Transmembrane Fragile-X-F protein
3684	VaccDscaff20-augustus-gene-119.25	leucoanthocyanidin
3685	VaccDscaff20-augustus-gene-119.24	ATP-dependent RNA helicase
3686	VaccDscaff20-augustus-gene-120.26	NAC domain-containing protein 8 isoform X1
3687	VaccDscaff20-snap-gene-120.34	Serine threonine-protein kinase STN7
3688	VaccDscaff20-augustus-gene-121.21	transcription factor
3689	VaccDscaff20-augustus-gene-121.18	AP2 ERF and B3 domain-containing transcription
3690	VaccDscaff20-augustus-gene-121.19	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
3691	VaccDscaff20-augustus-gene-121.20	Allene oxide cyclase
3692	VaccDscaff20-augustus-gene-121.22	Protein TRANSPARENT TESTA
3693	VaccDscaff20-processed-gene-122.6	Belongs to the peptidase A1 family
3694	VaccDscaff20-snap-gene-122.34	mediator of RNA polymerase II transcription subunit
3695	VaccDscaff20-augustus-gene-122.28	Tryptophan/tyrosine permease family
3696	VaccDscaff20-augustus-gene-122.29	domain-containing protein
3697	VaccDscaff20-snap-gene-122.39	synthase
3698	VaccDscaff20-snap-gene-122.37	GDT1-like protein
3699	VaccDscaff20-processed-gene-123.3	Carboxylesterase
3700	VaccDscaff20-augustus-gene-123.23	Transcription factor
3701	VaccDscaff20-snap-gene-123.31	Serine threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform
3702	VaccDscaff20-snap-gene-123.32	aluminum-activated malate transporter
3703	VaccDscaff20-augustus-gene-124.22	-
3704	VaccDscaff20-augustus-gene-124.23	Regulator of Vps4 activity in the MVB pathway protein
3705	VaccDscaff20-augustus-gene-124.24	serine threonine-protein kinase
3706	VaccDscaff20-augustus-gene-125.22	acetyltransferase component of pyruvate dehydrogenase complex
3707	VaccDscaff20-processed-gene-125.4	protein kinase activity
3708	VaccDscaff20-snap-gene-125.29	ubiquitin receptor
3709	VaccDscaff20-snap-gene-125.28	Protein NRT1 PTR FAMILY
3710	VaccDscaff20-processed-gene-126.4	-
3711	VaccDscaff20-processed-gene-127.1	DNA-binding domain in plant proteins such as APETALA2 and EREBPs
3712	VaccDscaff20-snap-gene-127.45	Tetraketide alpha-pyrone reductase
3713	VaccDscaff20-augustus-gene-127.40	3-ketoacyl-coa synthase
3714	VaccDscaff20-augustus-gene-127.41	FLX-like 3
3715	VaccDscaff20-processed-gene-127.33	3-ketoacyl-coa synthase
3716	VaccDscaff20-snap-gene-128.30	Zinc finger protein CONSTANS-like
3717	VaccDscaff20-snap-gene-128.31	Protein of unknown function (DUF1218)
3718	VaccDscaff20-augustus-gene-128.28	-
3719	VaccDscaff20-augustus-gene-129.18	zinc finger protein
3720	VaccDscaff20-snap-gene-129.25	Caffeoylshikimate esterase-like
3721	VaccDscaff20-snap-gene-130.29	adenylate
3722	VaccDscaff20-augustus-gene-130.27	Universal stress protein A-like protein
3723	VaccDscaff20-snap-gene-131.15	FDF
3724	VaccDscaff20-augustus-gene-131.14	Transcription factor bHLH75-like
3725	VaccDscaff20-augustus-gene-131.12	Thioesterase-like superfamily
3726	VaccDscaff20-snap-gene-131.16	dodecanoyl-[acyl-carrier-protein] hydrolase activity
3727	VaccDscaff20-augustus-gene-132.28	Transcription factor
3728	VaccDscaff20-augustus-gene-132.30	cysteine--tRNA ligase
3729	VaccDscaff20-augustus-gene-132.31	Belongs to the class-I aminoacyl-tRNA synthetase family
3730	VaccDscaff20-processed-gene-132.14	-
3731	VaccDscaff20-processed-gene-132.15	Glutamine phosphoribosylpyrophosphate amidotransferase
3732	VaccDscaff20-augustus-gene-133.30	Core-2/I-Branching enzyme
3733	VaccDscaff20-augustus-gene-133.29	V-type proton ATPase subunit
3734	VaccDscaff20-snap-gene-133.34	Core-2/I-Branching enzyme
3735	VaccDscaff20-augustus-gene-133.33	Leucine-rich repeat receptor-like protein kinase
3736	VaccDscaff20-processed-gene-133.7	Chaperone protein DNAj
3737	VaccDscaff20-augustus-gene-133.32	Wall-associated receptor kinase C-terminal
3738	VaccDscaff20-processed-gene-133.0	Zinc finger protein
3739	VaccDscaff20-snap-gene-134.39	receptor-like protein kinase
3740	VaccDscaff20-snap-gene-134.38	Protein tyrosine kinase
3741	VaccDscaff20-augustus-gene-134.30	receptor-like protein kinase
3742	VaccDscaff20-augustus-gene-134.28	protein phosphatase 2C 15
3743	VaccDscaff20-processed-gene-135.6	receptor kinase
3744	VaccDscaff20-snap-gene-135.43	receptor-like protein kinase
3745	VaccDscaff20-augustus-gene-135.36	receptor-like protein kinase
3746	VaccDscaff20-augustus-gene-135.33	Protein tyrosine kinase
3747	VaccDscaff20-augustus-gene-135.31	Protein tyrosine kinase
3748	VaccDscaff20-augustus-gene-135.32	serine threonine-protein kinase
3749	VaccDscaff20-snap-gene-135.44	receptor-like protein kinase
3750	VaccDscaff20-augustus-gene-136.35	receptor kinase
3751	VaccDscaff20-processed-gene-136.5	Wall-associated receptor kinase C-terminal
3752	VaccDscaff20-augustus-gene-136.38	receptor kinase
3753	VaccDscaff20-processed-gene-136.34	Cytochrome b-561 / ferric reductase transmembrane domain.
3754	VaccDscaff20-processed-gene-136.7	Wall-associated receptor kinase C-terminal
3755	VaccDscaff20-processed-gene-137.10	receptor-like protein kinase
3756	VaccDscaff20-augustus-gene-139.21	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
3757	VaccDscaff20-augustus-gene-139.25	isoform X1
3758	VaccDscaff20-augustus-gene-139.27	isoform X1
3759	VaccDscaff20-augustus-gene-139.26	Aux IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations
3760	VaccDscaff20-processed-gene-139.5	Nonspecific lipid-transfer protein
3761	VaccDscaff20-augustus-gene-140.19	WD40 repeats
3762	VaccDscaff20-augustus-gene-140.21	elongator complex protein
3763	VaccDscaff20-snap-gene-140.28	DNA topoisomerase 2-binding protein
3764	VaccDscaff20-augustus-gene-141.15	Lipid phosphate phosphatase
3765	VaccDscaff20-augustus-gene-141.17	bat1 bat1 (bidirectional amino acid transporter 1)
3766	VaccDscaff20-processed-gene-141.6	Belongs to the disease resistance NB-LRR family
3767	VaccDscaff20-processed-gene-141.7	Zinc finger, C3HC4 type (RING finger)
3768	VaccDscaff20-snap-gene-142.19	ATP-dependent RNA helicase
3769	VaccDscaff20-augustus-gene-142.16	chromatin binding
3770	VaccDscaff20-augustus-gene-142.15	PKHD-type hydroxylase At1g22950-like
3771	VaccDscaff20-snap-gene-143.40	ALG-2 interacting protein
3772	VaccDscaff20-augustus-gene-143.30	Belongs to the 'GDSL' lipolytic enzyme family
3773	VaccDscaff20-augustus-gene-143.22	Phosphatidylserine synthase
3774	VaccDscaff20-snap-gene-143.34	MATE efflux family protein
3775	VaccDscaff20-processed-gene-143.15	SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains
3776	VaccDscaff20-snap-gene-143.35	GATA transcription factor
3777	VaccDscaff20-augustus-gene-143.32	tetratricopeptide repeat protein
3778	VaccDscaff20-augustus-gene-143.31	Component of the origin recognition complex (ORC) that binds origins of replication
3779	VaccDscaff20-augustus-gene-144.14	sulfhydryl oxidase
3780	VaccDscaff20-snap-gene-144.21	-
3781	VaccDscaff20-processed-gene-144.6	Ribose-5-phosphate isomerase
3782	VaccDscaff20-augustus-gene-145.21	Core-2/I-Branching enzyme
3783	VaccDscaff20-processed-gene-145.0	Ribose-5-phosphate isomerase
3784	VaccDscaff20-processed-gene-146.9	Fasciclin-like arabinogalactan protein
3785	VaccDscaff20-snap-gene-146.20	Cleavage and polyadenylation specificity factor
3786	VaccDscaff20-augustus-gene-147.18	two-component response regulator
3787	VaccDscaff20-snap-gene-147.23	aspartate-semialdehyde dehydrogenase
3788	VaccDscaff20-snap-gene-147.21	Microtubule-associated protein
3789	VaccDscaff20-augustus-gene-147.20	Adagio protein
3790	VaccDscaff20-augustus-gene-148.21	Heat Stress Transcription Factor
3791	VaccDscaff20-augustus-gene-148.20	Probably involved in the RNA silencing pathway and required for the generation of small interfering RNAs (siRNAs)
3792	VaccDscaff20-augustus-gene-148.19	Probably involved in the RNA silencing pathway and required for the generation of small interfering RNAs (siRNAs)
3793	VaccDscaff20-augustus-gene-148.22	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)
3794	VaccDscaff20-augustus-gene-148.23	Vacuolar iron transporter 1
3795	VaccDscaff20-augustus-gene-149.23	Zinc finger protein
3796	VaccDscaff20-augustus-gene-149.25	DnaB-like helicase C terminal domain
3797	VaccDscaff20-snap-gene-149.32	calcium homeostasis endoplasmic reticulum
3798	VaccDscaff20-snap-gene-149.35	Vacuolar fusion protein CCZ1 homolog
3799	VaccDscaff20-processed-gene-150.0	Belongs to the cyclin family
3800	VaccDscaff20-augustus-gene-150.26	Major Facilitator Superfamily protein
3801	VaccDscaff20-snap-gene-150.32	PHD-finger
3802	VaccDscaff20-snap-gene-150.31	Belongs to the disease resistance NB-LRR family
3803	VaccDscaff20-augustus-gene-150.28	Soybean trypsin inhibitor (Kunitz) family of protease inhibitors
3804	VaccDscaff20-processed-gene-153.3	superfamily. Protein
3805	VaccDscaff20-snap-gene-153.33	Resistance protein
3806	VaccDscaff20-snap-gene-153.35	Protein POLLEN DEFECTIVE IN GUIDANCE
3807	VaccDscaff20-augustus-gene-153.31	G-type lectin S-receptor-like serine threonine-protein kinase
3808	VaccDscaff20-augustus-gene-153.32	G-type lectin S-receptor-like serine threonine-protein kinase
3809	VaccDscaff20-snap-gene-154.9	THO complex subunit
3810	VaccDscaff20-processed-gene-154.2	RING-type E3 ubiquitin transferase
3811	VaccDscaff20-augustus-gene-155.9	-
3812	VaccDscaff20-augustus-gene-155.10	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
3813	VaccDscaff20-augustus-gene-155.11	Histidine kinase
3814	VaccDscaff20-augustus-gene-156.17	oberon 3
3815	VaccDscaff20-augustus-gene-156.16	50S ribosome-binding GTPase
3816	VaccDscaff20-augustus-gene-156.15	ZINC FINGER protein
3817	VaccDscaff20-snap-gene-156.26	Pentatricopeptide repeat-containing protein At1g80150
3818	VaccDscaff20-snap-gene-156.27	Cysteine desulfurase 1
3819	VaccDscaff20-augustus-gene-156.21	Ascorbate-specific transmembrane electron transporter
3820	VaccDscaff20-snap-gene-156.30	Ascorbate-specific transmembrane electron transporter
3821	VaccDscaff20-augustus-gene-157.23	Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues
3822	VaccDscaff20-processed-gene-157.6	Histidinol-phosphate aminotransferase
3823	VaccDscaff20-augustus-gene-159.25	Hydroxyproline-rich glycoprotein family protein
3824	VaccDscaff20-augustus-gene-159.27	DEAD-box ATP-dependent RNA helicase
3825	VaccDscaff20-augustus-gene-159.26	2OG-Fe(II) oxygenase superfamily
3826	VaccDscaff20-augustus-gene-159.30	Plastocyanin-like domain
3827	VaccDscaff20-snap-gene-160.22	Type I inositol 1,4,5-trisphosphate 5-phosphatase
3828	VaccDscaff20-snap-gene-161.25	Type I inositol 1,4,5-trisphosphate 5-phosphatase
3829	VaccDscaff20-augustus-gene-161.24	65-kDa microtubule-associated protein
3830	VaccDscaff20-snap-gene-161.27	Cyclin, N-terminal domain
